num_vms,cpu_req,mem_req,storage_req,network_req,acc_req,rho_acc,requested_instructions,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,total_cpu,total_mem,total_storage,total_accelerators,avail_network,total_network,util_network,cpu_idle_power,cpu_max_power,acc_idle_power,acc_max_power,compute_cap_per_cpu,compute_cap_acc,running_vms,overcommit_cpu,overcommit_mem,num_tasks,energy_kwh,chosen_hw_type,accepted
25,82.000000,414.828452,0.826479,0.082648,1,0.950000,40239465069.137260,0.007118,0.004501,285950.000000,2293629.288694,11979.338016,47975.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.917352,30.000000,0.002755,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.045462,3,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.025208,0.024605,70185.000000,561827.459509,2971.987934,11985.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.730605,30.000000,0.008980,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.040251,4,1
24,32.000000,107.089897,0.234089,0.023409,1,0.850000,40170048014.340012,0.035875,0.029067,69417.000000,559257.301975,2966.369796,11961.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.707196,30.000000,0.009760,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.017032,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.040736,0.032339,69067.000000,557372.871270,2961.786486,11956.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.615530,30.000000,0.012816,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.007762,4,1
16,63.000000,277.873879,0.581918,0.058192,1,0.950000,26482867333.797211,0.010618,0.006431,284942.000000,2289183.306626,11970.027333,47959.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.557338,30.000000,0.014755,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.022354,3,1
13,55.000000,227.423444,0.491828,0.049183,1,0.950000,21415301275.632950,0.013101,0.007714,284227.000000,2286226.801857,11963.633575,47946.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.508155,30.000000,0.016395,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.015856,3,1
31,93.000000,490.598917,0.961784,0.096178,1,0.950000,47850337632.862076,0.023111,0.014315,281344.000000,2271018.235433,11933.818278,47915.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.411977,30.000000,0.019601,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.063936,3,1
11,99.000000,697.597708,1.453568,0.145357,1,0.880000,134428111032.782166,0.055861,0.045661,67978.000000,549699.296479,2945.797242,11945.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.266620,30.000000,0.024446,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.024151,4,1
3,59.000000,254.875890,0.712404,0.071240,1,0.880000,45488459964.044609,0.058319,0.046988,67801.000000,548934.668811,2943.660031,11942.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.195380,30.000000,0.026821,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.003925,4,1
25,82.000000,414.828452,0.826479,0.082648,1,0.950000,40239465069.137260,0.030229,0.018816,279294.000000,2260647.524127,11913.156293,47890.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.917352,30.000000,0.002755,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.045462,3,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.083528,0.071594,65986.000000,534762.128320,2915.647965,11927.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.730605,30.000000,0.008980,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.040251,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.088389,0.074865,65636.000000,532877.697616,2911.064655,11922.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.638939,30.000000,0.012035,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.007762,4,1
16,63.000000,277.873879,0.581918,0.058192,1,0.950000,26482867333.797211,0.033729,0.020746,278286.000000,2256201.542060,11903.845611,47874.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.580747,30.000000,0.013975,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.022354,3,1
31,93.000000,490.598917,0.961784,0.096178,1,0.950000,47850337632.862076,0.043740,0.027347,275403.000000,2240992.975636,11874.030314,47843.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.484569,30.000000,0.017181,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.063936,3,1
11,99.000000,697.597708,1.453568,0.145357,1,0.880000,134428111032.782166,0.103514,0.088187,64547.000000,525204.122825,2895.075411,11911.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.339212,30.000000,0.022026,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.024151,4,1
3,59.000000,254.875890,0.712404,0.071240,1,0.880000,45488459964.044609,0.105972,0.089515,64370.000000,524439.495156,2892.938200,11908.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.267971,30.000000,0.024401,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.003925,4,1
25,82.000000,414.828452,0.826479,0.082648,1,0.950000,40239465069.137260,0.050858,0.031848,273353.000000,2230622.264330,11853.368329,47818.000000,288000.000000,2304000.000000,12000.000000,48000.000000,29.917352,30.000000,0.002755,6.791667,9.175617,176.800000,225.000000,4400.040000,507494.400000,0,1.000000,1.000000,0,0.045462,3,1
15,121.000000,944.836033,1.867471,0.186747,1,0.880000,184096524428.621185,0.131181,0.114120,62555.000000,510266.954665,2864.926134,11893.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.730605,30.000000,0.008980,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.040251,4,1
5,70.000000,376.886141,0.916662,0.091666,1,0.880000,69999447944.573792,0.136042,0.117391,62205.000000,508382.523961,2860.342824,11888.000000,72000.000000,576000.000000,3000.000000,12000.000000,29.638939,30.000000,0.012035,6.791667,9.175617,17.300000,25.100000,4400.040000,295959.300000,0,1.000000,1.000000,0,0.007762,4,1
